ubigeo,anio,foncomun_soles
040607,2015,369600.0
040608,2015,1297624.0
040702,2015,816311.0
040703,2015,560156.0
040704,2015,527185.0
040705,2015,369600.0
040701,2015,1054291.0
040706,2015,528022.0
040802,2015,369600.0
040801,2015,820714.0
040803,2015,369600.0
040804,2015,500031.0
040805,2015,369600.0
040806,2015,661079.0
040807,2015,369600.0
040808,2015,369600.0
040809,2015,369600.0
040810,2015,369600.0
040811,2015,369600.0
050201,2015,2094889.0
050202,2015,1780263.0
050203,2015,1878044.0
050204,2015,767216.0
050205,2015,1330875.0
050206,2015,919173.0
050102,2015,2188014.0
050103,2015,1286068.0
050101,2015,8869677.0
050104,2015,2147875.0
050105,2015,1523766.0
050115,2015,1870799.0
050106,2015,1368622.0
050107,2015,708533.0
050108,2015,1153474.0
050109,2015,636201.0
050110,2015,4638026.0
050111,2015,488062.0
050112,2015,1479354.0
050113,2015,1208854.0
050114,2015,3522241.0
050116,2015,2050317.0
050302,2015,538563.0
050303,2015,466992.0
050301,2015,623436.0
050304,2015,719670.0
050402,2015,1455197.0
050403,2015,1276142.0
050401,2015,5766633.0
050404,2015,933399.0
050405,2015,1277211.0
050408,2015,2330067.0
050406,2015,1967194.0
050407,2015,3258636.0
050409,2015,749060.0
050410,2015,1396633.0
050411,2015,2137343.0
050502,2015,3234602.0
050503,2015,2295059.0
050504,2015,1108491.0
050505,2015,2454122.0
050506,2015,518658.0
050501,2015,5903198.0
050507,2015,2593025.0
050508,2015,4588354.0
050509,2015,1953738.0
050510,2015,1872978.0
050602,2015,838934.0
050603,2015,611526.0
050604,2015,590420.0
050605,2015,378621.0
050606,2015,728760.0
050607,2015,624843.0
050608,2015,384143.0
050609,2015,385352.0
050611,2015,776583.0
050610,2015,369600.0
050612,2015,654039.0
050613,2015,659628.0
050601,2015,3182817.0
050614,2015,369600.0
050615,2015,410507.0
050616,2015,369600.0
050617,2015,603172.0
050618,2015,376116.0
050619,2015,1604560.0
050620,2015,369600.0
050621,2015,369600.0
050701,2015,1419644.0
050703,2015,456673.0
050702,2015,440838.0
